,shot_id,url
4884,17441,s3://mast/level1/shots/17441.zarr
4885,17442,s3://mast/level1/shots/17442.zarr
4886,17443,s3://mast/level1/shots/17443.zarr
4887,17444,s3://mast/level1/shots/17444.zarr
4888,17445,s3://mast/level1/shots/17445.zarr
4889,17446,s3://mast/level1/shots/17446.zarr
4890,17447,s3://mast/level1/shots/17447.zarr
4891,17448,s3://mast/level1/shots/17448.zarr
4892,17449,s3://mast/level1/shots/17449.zarr
4893,17450,s3://mast/level1/shots/17450.zarr
4894,17451,s3://mast/level1/shots/17451.zarr
4895,17452,s3://mast/level1/shots/17452.zarr
4896,17453,s3://mast/level1/shots/17453.zarr
4897,17454,s3://mast/level1/shots/17454.zarr
4898,17455,s3://mast/level1/shots/17455.zarr
4899,17456,s3://mast/level1/shots/17456.zarr
4900,17457,s3://mast/level1/shots/17457.zarr
4901,17458,s3://mast/level1/shots/17458.zarr
4902,17459,s3://mast/level1/shots/17459.zarr
4903,17460,s3://mast/level1/shots/17460.zarr
4904,17461,s3://mast/level1/shots/17461.zarr
4905,17462,s3://mast/level1/shots/17462.zarr
4906,17463,s3://mast/level1/shots/17463.zarr
4907,17464,s3://mast/level1/shots/17464.zarr
4908,17466,s3://mast/level1/shots/17466.zarr
4909,17467,s3://mast/level1/shots/17467.zarr
4910,17468,s3://mast/level1/shots/17468.zarr
4911,17469,s3://mast/level1/shots/17469.zarr
4912,17470,s3://mast/level1/shots/17470.zarr
4913,17471,s3://mast/level1/shots/17471.zarr
4914,17472,s3://mast/level1/shots/17472.zarr
4915,17473,s3://mast/level1/shots/17473.zarr
4916,17474,s3://mast/level1/shots/17474.zarr
4917,17479,s3://mast/level1/shots/17479.zarr
4918,17481,s3://mast/level1/shots/17481.zarr
4919,17482,s3://mast/level1/shots/17482.zarr
4920,17483,s3://mast/level1/shots/17483.zarr
4921,17484,s3://mast/level1/shots/17484.zarr
4922,17486,s3://mast/level1/shots/17486.zarr
4923,17487,s3://mast/level1/shots/17487.zarr
4924,17490,s3://mast/level1/shots/17490.zarr
4925,17491,s3://mast/level1/shots/17491.zarr
4926,17492,s3://mast/level1/shots/17492.zarr
4927,17493,s3://mast/level1/shots/17493.zarr
4928,17494,s3://mast/level1/shots/17494.zarr
4929,17496,s3://mast/level1/shots/17496.zarr
4930,17497,s3://mast/level1/shots/17497.zarr
4931,17498,s3://mast/level1/shots/17498.zarr
4932,17500,s3://mast/level1/shots/17500.zarr
4933,17501,s3://mast/level1/shots/17501.zarr
4934,17503,s3://mast/level1/shots/17503.zarr
4935,17504,s3://mast/level1/shots/17504.zarr
4936,17505,s3://mast/level1/shots/17505.zarr
4937,17506,s3://mast/level1/shots/17506.zarr
4938,17507,s3://mast/level1/shots/17507.zarr
4939,17508,s3://mast/level1/shots/17508.zarr
4940,17509,s3://mast/level1/shots/17509.zarr
4941,17510,s3://mast/level1/shots/17510.zarr
4942,17511,s3://mast/level1/shots/17511.zarr
4943,17512,s3://mast/level1/shots/17512.zarr
4944,17513,s3://mast/level1/shots/17513.zarr
4945,17514,s3://mast/level1/shots/17514.zarr
4946,17516,s3://mast/level1/shots/17516.zarr
4947,17517,s3://mast/level1/shots/17517.zarr
4948,17518,s3://mast/level1/shots/17518.zarr
4949,17519,s3://mast/level1/shots/17519.zarr
4950,17520,s3://mast/level1/shots/17520.zarr
4951,17521,s3://mast/level1/shots/17521.zarr
4952,17522,s3://mast/level1/shots/17522.zarr
4953,17523,s3://mast/level1/shots/17523.zarr
4954,17524,s3://mast/level1/shots/17524.zarr
4955,17525,s3://mast/level1/shots/17525.zarr
4956,17526,s3://mast/level1/shots/17526.zarr
4957,17527,s3://mast/level1/shots/17527.zarr
4958,17528,s3://mast/level1/shots/17528.zarr
4959,17529,s3://mast/level1/shots/17529.zarr
4960,17530,s3://mast/level1/shots/17530.zarr
4961,17531,s3://mast/level1/shots/17531.zarr
4962,17532,s3://mast/level1/shots/17532.zarr
4963,17533,s3://mast/level1/shots/17533.zarr
4964,17534,s3://mast/level1/shots/17534.zarr
4965,17535,s3://mast/level1/shots/17535.zarr
4966,17536,s3://mast/level1/shots/17536.zarr
4967,17537,s3://mast/level1/shots/17537.zarr
4968,17538,s3://mast/level1/shots/17538.zarr
4969,17539,s3://mast/level1/shots/17539.zarr
4970,17540,s3://mast/level1/shots/17540.zarr
4971,17541,s3://mast/level1/shots/17541.zarr
4972,17542,s3://mast/level1/shots/17542.zarr
4973,17543,s3://mast/level1/shots/17543.zarr
4974,17544,s3://mast/level1/shots/17544.zarr
4975,17545,s3://mast/level1/shots/17545.zarr
4976,17546,s3://mast/level1/shots/17546.zarr
4977,17547,s3://mast/level1/shots/17547.zarr
4978,17548,s3://mast/level1/shots/17548.zarr
4979,17549,s3://mast/level1/shots/17549.zarr
4980,17550,s3://mast/level1/shots/17550.zarr
4981,17551,s3://mast/level1/shots/17551.zarr
4982,17555,s3://mast/level1/shots/17555.zarr
4983,17556,s3://mast/level1/shots/17556.zarr
4984,17557,s3://mast/level1/shots/17557.zarr
4985,17558,s3://mast/level1/shots/17558.zarr
4986,17559,s3://mast/level1/shots/17559.zarr
4987,17560,s3://mast/level1/shots/17560.zarr
4988,17561,s3://mast/level1/shots/17561.zarr
4989,17562,s3://mast/level1/shots/17562.zarr
4990,17564,s3://mast/level1/shots/17564.zarr
4991,17565,s3://mast/level1/shots/17565.zarr
4992,17566,s3://mast/level1/shots/17566.zarr
4993,17567,s3://mast/level1/shots/17567.zarr
4994,17568,s3://mast/level1/shots/17568.zarr
4995,17569,s3://mast/level1/shots/17569.zarr
